Unnamed: 0,Age,Attrition,BusinessTravel,DailyRate,Department,DistanceFromHome,Education,EducationField,EmployeeCount,EmployeeNumber,EnvironmentSatisfaction,Gender,HourlyRate,JobInvolvement,JobLevel,JobRole,JobSatisfaction,MaritalStatus,MonthlyIncome,MonthlyRate,NumCompaniesWorked,Over18,OverTime,PercentSalaryHike,PerformanceRating,RelationshipSatisfaction,StandardHours,StockOptionLevel,TotalWorkingYears,TrainingTimesLastYear,WorkLifeBalance,YearsAtCompany,YearsInCurrentRole,YearsSinceLastPromotion,YearsWithCurrManager
0,33,No,Travel_Rarely,1816,Sales,24,3,Medical,1,664,4,Male,95,3,1,Sales Executive,1,Divorced,7181,13574,0,Y,No,14,4,3,80,1,10,3,3,10,0,6,1
1,24,No,Non-Travel,1244,Sales,15,4,Medical,1,74,4,Male,124,3,4,Laboratory Technician,3,Single,6057,28350,0,Y,No,12,3,1,80,0,4,3,3,0,2,3,0
2,41,No,Travel_Frequently,257,Sales,17,4,Medical,1,784,2,Male,123,2,3,Sales Executive,4,Married,3986,12229,0,Y,Yes,16,3,3,80,0,14,4,3,2,0,3,0
3,30,No,Travel_Rarely,745,Research & Development,21,4,Life Sciences,1,987,4,Male,51,3,1,Research Scientist,4,Single,5702,8034,1,Y,No,11,3,2,80,0,36,3,3,3,0,0,3
4,53,No,Travel_Frequently,1974,Research & Development,22,3,Medical,1,1918,4,Male,53,3,2,Manager,4,Married,4265,25789,2,Y,No,12,3,3,80,1,6,2,3,9,0,0,0
5,34,No,Travel_Rarely,704,Sales,3,4,Medical,1,1210,4,Male,103,4,2,Sales Executive,3,Married,4784,17007,0,Y,No,15,4,1,80,1,26,2,4,2,2,1,0
6,34,No,Travel_Rarely,837,Sales,3,4,Life Sciences,1,1423,1,Male,121,2,2,Manager,1,Divorced,5138,16313,9,Y,No,13,3,1,80,1,6,1,3,5,4,0,16
7,34,No,Travel_Frequently,668,Research & Development,15,4,Other,1,1682,3,Male,104,3,4,Manager,4,Divorced,4476,19785,1,Y,No,21,3,3,80,0,33,6,2,2,2,4,4
8,36,No,Travel_Frequently,1772,Research & Development,8,4,Medical,1,1847,3,Male,40,3,2,Laboratory Technician,4,Married,16731,7109,3,Y,No,14,3,3,80,2,10,6,3,5,7,1,0
9,34,No,Travel_Rarely,1881,Research & Development,5,4,Life Sciences,1,1994,3,Male,58,3,1,Laboratory Technician,2,Single,8710,32063,1,Y,No,18,3,1,80,0,3,5,2,13,0,0,8
10,42,No,Travel_Rarely,1864,Research & Development,7,4,Life Sciences,1,731,4,Male,38,2,2,Sales Executive,4,Single,13444,5154,4,Y,No,13,3,1,80,0,29,3,3,15,2,1,9
11,24,No,Travel_Rarely,642,Research & Development,27,3,Marketing,1,477,4,Male,66,3,3,Laboratory Technician,4,Single,6776,14917,3,Y,No,12,3,3,80,0,8,3,3,12,1,0,7
12,48,No,Non-Travel,1884,Sales,6,3,Life Sciences,1,150,4,Female,100,3,2,Sales Executive,1,Married,8327,9753,6,Y,No,13,3,2,80,0,10,3,2,6,7,3,0
13,42,No,Travel_Rarely,842,Sales,8,1,Life Sciences,1,1032,3,Female,41,3,2,Sales Executive,4,Divorced,5343,19726,7,Y,No,12,3,1,80,3,10,3,3,3,2,0,7
14,33,No,Travel_Frequently,1890,Research & Development,7,3,Life Sciences,1,856,4,Male,79,3,4,Sales Representative,4,Married,3969,20381,3,Y,No,24,3,1,80,0,2,2,3,7,1,0,1
