count,hate_speech,offensive_language,neither,class,tweet,text length,final_tweet
3,0,0,3,2,!!! RT @mayasolovely: As a woman you shouldn't complain about cleaning up your house. &amp; as a man you should always take the trash out...,140,woman shouldn t complain clean house amp man trash
3,0,3,0,1,!!!!! RT @mleew17: boy dats cold...tyga dwn bad for cuffin dat hoe in the 1st place!!,85,boy dats cold tyga dwn bad cuffin dat hoe st place
3,0,3,0,1,!!!!!!! RT @UrKindOfBrand Dawg!!!! RT @80sbaby4life: You ever fuck a bitch and she start to cry? You be confused as shit,120,dawg fuck bitch start cry confuse shit
3,0,2,1,1,!!!!!!!!! RT @C_G_Anderson: @viva_based she look like a tranny,62,look like tranny
6,0,6,0,1,!!!!!!!!!!!!! RT @ShenikaRoberts: The shit you hear about me might be true or it might be faker than the bitch who told it to ya &#57361;,137,shit hear true faker bitch tell ya
3,1,2,0,1,"!!!!!!!!!!!!!!!!!!""@T_Madison_x: The shit just blows me..claim you so faithful and down for somebody but still fucking with hoes! &#128514;&#128514;&#128514;""",158,shit blow claim faithful somebody fuck hoe
3,0,3,0,1,"!!!!!!""@__BrighterDays: I can not just sit up and HATE on another bitch .. I got too much shit going on!""",105,sit hate bitch shit
3,0,3,0,1,!!!!&#8220;@selfiequeenbri: cause I'm tired of you big bitches coming for us skinny girls!!&#8221;,98,cause m tired big bitch come skinny girl
3,0,3,0,1,""" &amp; you might not get ya bitch back &amp; thats that """,58,amp ya bitch amp s
3,1,2,0,1,""" @rhythmixx_ :hobbies include: fighting Mariam""

bitch",55,hobby include fight mariam bitch
3,0,3,0,1,""" Keeks is a bitch she curves everyone "" lol I walked into a conversation like this. Smh",88,keeks bitch curve lol walk conversation like smh
3,0,3,0,1,""" Murda Gang bitch its Gang Land """,34,murda gang bitch gang land
3,0,2,1,1,""" So hoes that smoke are losers ? "" yea ... go on IG",52,hoe smoke loser yea ig
3,0,3,0,1,""" bad bitches is the only thing that i like """,45,bad bitch thing like
3,1,2,0,1,""" bitch get up off me """,23,bitch
3,0,3,0,1,""" bitch nigga miss me with it """,31,bitch nigga miss
3,0,3,0,1,""" bitch plz whatever """,22,bitch plz
3,1,2,0,1,""" bitch who do you love """,25,bitch love
3,0,3,0,1,""" bitches get cut off everyday B """,34,bitch cut everyday b
3,0,3,0,1,""" black bottle &amp; a bad bitch """,34,black bottle amp bad bitch
3,0,3,0,1,""" broke bitch cant tell me nothing """,36,break bitch tell
3,0,3,0,1,""" cancel that bitch like Nino """,31,cancel bitch like nino
3,0,3,0,1,""" cant you see these hoes wont change """,39,hoe change
3,0,3,0,1,""" fuck no that bitch dont even suck dick "" &#128514;&#128514;&#128514; the Kermit videos bout to fuck IG up",107,fuck bitch suck dick kermit video bout fuck ig
3,0,3,0,1,""" got ya bitch tip toeing on my hardwood floors "" &#128514; http://t.co/cOU2WQ5L4q",82,ya bitch tip toe hardwood floor
3,0,2,1,1,""" her pussy lips like Heaven doors "" &#128524;",46,pussy lip like heaven door
3,0,3,0,1,""" hoe what its hitting for """,28,hoe hitting
3,0,3,0,1,""" i met that pussy on Ocean Dr . i gave that pussy a pill "" &#128524;",69,meet pussy ocean dr pussy pill
3,0,3,0,1,""" i need a trippy bitch who fuck on Hennessy """,46,need trippy bitch fuck hennessy
3,0,3,0,1,""" i spend my money how i want bitch its my business """,53,spend money want bitch business
3,0,3,0,1,""" i txt my old bitch my new bitch pussy wetter """,48,txt old bitch new bitch pussy wetter
3,0,3,0,1,""" i'd say im back to the old me but my old bitches would get excited "" &#128524;",80,d m old old bitch excited
3,0,3,0,1,""" if you aint bout that Murder Game pussy nigga shut up """,57,bout murder game pussy nigga shut
3,0,3,0,1,""" if you're toes ain't done you pussy stinks """,46,toe ain t pussy stink
3,0,3,0,1,""" im done with bitter bitches its a wrap for that . if you a angry bird theres a app for that """,95,m bitter bitch wrap angry bird s app
3,0,3,0,1,""" is that ya bitch """,20,ya bitch
3,0,3,0,1,""" it aint nothing to cut a bitch off """,38,cut bitch
3,0,3,0,1,""" jus meet son now he ya mane ass bitches "" #Shots",50,jus meet son ya mane ass bitch shot
3,0,2,1,1,""" lames crying over hoes thats tears of a clown """,49,lames cry hoe s tear clown
