subgenre,family
big room,club_electronic
dance pop,club_electronic
electro house,club_electronic
pop edm,club_electronic
progressive electro house,club_electronic
album rock,guitar_rock
classic rock,guitar_rock
hard rock,guitar_rock
permanent wave,guitar_rock
gangster rap,hiphop_lineage
hip hop,hiphop_lineage
latin hip hop,hiphop_lineage
southern hip hop,hiphop_lineage
trap,hiphop_lineage
latin pop,latin_rhythm
reggaeton,latin_rhythm
dance pop,pop_craft
electropop,pop_craft
indie poptimism,pop_craft
post-teen pop,pop_craft
hip pop,soul_rnb
Neo Soul ,soul_rnb
new jack swing,soul_rnb
urban contemporary,soul_rnb
