course_id,course_title,url,is_paid,price,num_subscribers,num_reviews,num_lectures,level,content_duration,subject,year,revenue
1070968,Ultimate Investment Banking Course,https://www.udemy.com/ultimate-investment-banking-course/,True,200,2147,23.0,51.0,All Levels,1.5,Business Finance,2017,429400
1113822,Complete GST Course & Certification - Grow Your CA Practice,https://www.udemy.com/goods-and-services-tax/,True,75,2792,923.0,274.0,All Levels,,Business Finance,2017,209400
1210588,Beginner to Pro - Financial Analysis in Excel 2017,https://www.udemy.com/complete-excel-finance-course-from-beginner-to-pro/,True,95,2451,11.0,36.0,All Levels,3.0,Business Finance,2017,232845
1167710,The Only Investment Strategy You Need For Your Retirement,https://www.udemy.com/the-only-investment-strategy-you-need-for-your-retirement/,True,200,827,14.0,15.0,All Levels,1.0,Business Finance,2017,165400
1196544,Python Algo Trading: Sentiment Trading with News,https://www.udemy.com/hedge-fund-strategy-trading-with-sentiment-analysis/,True,200,294,19.0,42.0,All Levels,7.0,Business Finance,2017,58800
1242604,Winning Forex Trading with Live Forex Trading Examples,https://www.udemy.com/forexmacross/,True,200,809,3.0,25.0,All Levels,2.0,Business Finance,2017,161800
1266306,Forex Trading: Your Complete Guide to Get Started Like a Pro,https://www.udemy.com/forex-trading-your-complete-guide-to-get-started-like-a-pro/,True,140,1026,25.0,37.0,Beginner Level,3.0,Business Finance,2017,143640
1170894,Python Algo Stock Trading: Automate Your Trading!,https://www.udemy.com/algorithmic-stock-trading-bootcamp-automate-your-trading/,True,95,1165,21.0,41.0,Beginner Level,2.5,Business Finance,2017,110675
1217778,Mastering High Probability Iron Condor Options Trading,https://www.udemy.com/mastering-high-probability-iron-condor-options-trading/,True,200,1030,11.0,,All Levels,2.0,Business Finance,2017,206000
1246208,The Complete Short Course on Ethereum,https://www.udemy.com/ethereum1/,True,200,1041,,28.0,All Levels,1.5,Business Finance,2017,208200
1035472,Python for Finance: Investment Fundamentals & Data Analytics,https://www.udemy.com/python-for-finance-investment-fundamentals-data-analytics/,True,195,3811,278.0,103.0,All Levels,6.5,Business Finance,2017,743145
1154754,Financial Modeling for Startups & Small Businesses,https://www.udemy.com/financial-modeling-for-startups-small-businesses/,True,195,4991,137.0,79.0,Beginner Level,11.5,Business Finance,2017,973245
1247394,Cryptocurrency Trading: Complete Guide To Trading Altcoins,https://www.udemy.com/cryptocurrency-trading/,True,95,367,42.0,35.0,All Levels,5.0,Business Finance,2017,34865
1214702,Three Steps Trading - Live Trading - Real Account,https://www.udemy.com/three-steps-trading-live-trading-real-account/,True,190,1197,11.0,46.0,All Levels,,Business Finance,2017,227430
1142570,How I Learned Stock Trading (and How You Can Too),https://www.udemy.com/best-stock-traders/,True,200,1580,12.0,53.0,Expert Level,2.0,Business Finance,2017,316000
885974,Four Fundamentals of Financial Planning,https://www.udemy.com/four-fundamentals-of-financial-planning/,True,30,6219,23.0,20.0,All Levels,1.0,Business Finance,2017,186570
1151092,Options Trading - Calendar Spread Course for Every Trader,https://www.udemy.com/options-trading-calendar-spread-course-for-every-trader/,True,200,1113,11.0,17.0,All Levels,1.5,Business Finance,2017,222600
1171994,A Beginner's Guide to Quantopian Futures API,https://www.udemy.com/quantopian-futures/,True,20,936,6.0,11.0,Intermediate Level,1.5,Business Finance,2017,18720
1239068,How to Buy Cheap Options - Options Trading Pricing Model,https://www.udemy.com/options-black-scholes-model/,True,200,658,2.0,19.0,All Levels,1.0,Business Finance,2017,131600
1122792,The Almost Perfect Options Trading Strategy System - Unique,https://www.udemy.com/the-almost-perfect-options-trading-strategy-system-unique/,True,200,1793,,15.0,All Levels,1.0,Business Finance,2017,358600
