course_id,year
1006314,2016
1011058,2016
192870,2014
739964,2016
403100,2015
476268,2015
592338,2015
975046,2016
742602,2016
794151,2016
504036,2015
719698,2016
564966,2015
606928,2015
58977,2013
798740,2016
506568,2015
1020760,2016
859742,2016
383414,2015
353044,2014
447362,2015
831066,2016
948974,2016
380970,2015
434774,2015
308690,2014
888716,2016
321410,2014
965832,2016
648826,2016
627540,2015
301442,2014
640100,2015
260470,2014
848664,2016
325834,2014
411168,2015
358326,2015
153210,2014
834836,2016
985922,2016
765562,2016
165964,2014
855172,2016
258232,2014
994754,2016
43319,2013
408440,2015
918688,2016
308694,2015
199450,2014
401784,2015
709500,2016
285638,2014
834558,2016
551968,2015
1005658,2016
746432,2016
284118,2014
302562,2014
596598,2015
860890,2016
951050,2016
796450,2016
502772,2015
891484,2016
382204,2015
308696,2015
474928,2015
959144,2016
572744,2015
724062,2016
474212,2015
771276,2016
388164,2015
133536,2013
655300,2015
949504,2016
265960,2014
680044,2015
923616,2016
741898,2016
381330,2014
545918,2015
191854,2014
471546,2015
866584,2016
889824,2016
585752,2015
671578,2015
151668,2014
44836,2013
840300,2016
421054,2015
528784,2015
637430,2015
236080,2016
777444,2016
474238,2015
1051570,2016
262370,2014
824592,2016
730414,2016
252396,2014
920604,2016
215728,2014
722174,2016
48841,2013
907444,2016
317030,2014
891490,2016
812616,2016
407984,2015
214046,2016
512400,2015
945750,2016
402836,2015
588764,2015
576946,2015
543242,2015
502240,2015
598266,2015
814068,2016
441112,2015
1028030,2016
1018380,2016
575676,2015
936328,2016
43441,2013
584410,2015
625568,2015
297742,2014
24877,2012
597716,2016
415802,2015
323950,2014
488818,2015
610890,2015
638980,2015
599684,2015
332848,2014
354324,2014
379682,2014
319020,2014
713258,2016
537884,2015
919906,2016
46010,2013
777932,2016
773934,2016
221306,2014
830994,2016
723510,2016
42643,2013
411778,2015
366514,2015
471588,2015
390096,2015
607876,2015
249950,2014
792216,2016
45139,2013
692176,2016
598094,2015
40039,2013
352150,2014
537878,2015
923184,2016
476256,2015
552504,2015
537888,2015
385686,2015
738900,2016
57415,2013
155344,2014
42491,2013
511952,2015
530246,2015
862786,2016
165122,2014
530768,2015
218416,2015
619296,2015
717278,2016
445916,2015
267984,2014
180362,2014
364810,2014
692722,2016
298558,2014
480752,2015
637922,2015
337320,2014
876646,2016
529424,2015
720814,2016
515326,2015
851106,2016
429308,2015
302450,2015
190816,2014
244000,2014
429482,2015
658764,2015
64739,2013
907716,2016
722682,2016
808506,2016
673016,2015
358062,2014
372234,2015
822514,2016
1045726,2016
943426,2016
46927,2013
567070,2015
867440,2016
501996,2015
673702,2015
821108,2016
863998,2016
822926,2016
666254,2015
421546,2015
518886,2015
868128,2016
986034,2016
42642,2013
471428,2015
600206,2015
283780,2014
874284,2016
42640,2013
767256,2016
843854,2016
247558,2014
696616,2016
205810,2014
507486,2015
965306,2016
627706,2015
255280,2014
628944,2015
537886,2015
517938,2015
779678,2016
494330,2015
153926,2014
806122,2016
725658,2016
1032234,2016
996542,2016
756520,2016
768028,2016
73030,2013
476880,2015
773060,2016
552058,2015
509512,2015
497236,2015
471556,2015
403602,2015
326948,2014
537896,2015
797762,2016
674350,2016
439362,2015
42634,2013
494800,2015
990440,2016
109988,2013
815482,2016
569436,2015
803664,2016
213154,2014
484132,2015
640062,2015
363404,2015
454724,2015
702278,2016
323196,2014
443584,2015
1034074,2016
418732,2015
757450,2016
403468,2015
761808,2016
614510,2015
519776,2015
805336,2016
828254,2016
471440,2015
478598,2015
394636,2015
512004,2015
538540,2015
406922,2015
743914,2016
419308,2015
542028,2015
482534,2015
716136,2016
737514,2016
471446,2015
920424,2016
49886,2013
292462,2014
211874,2014
754028,2016
546924,2015
105972,2013
556068,2015
317572,2014
738910,2016
1015274,2016
934574,2016
988804,2016
529718,2015
998872,2016
1023670,2016
571394,2015
637176,2015
677802,2015
739390,2016
489146,2015
910650,2016
109622,2013
881378,2016
474150,2015
1046724,2016
233900,2014
116128,2013
877106,2016
65105,2013
889066,2016
28172,2012
257996,2015
811534,2016
95176,2014
880564,2016
613944,2015
24815,2012
736836,2016
462474,2015
73938,2013
158444,2016
577198,2015
993160,2016
233294,2014
281844,2014
607362,2015
25794,2012
387348,2015
475912,2015
332690,2014
830870,2016
199822,2014
56058,2013
587232,2015
398798,2015
130366,2014
530430,2015
615204,2015
441016,2015
598722,2015
979616,2016
528488,2015
832832,2016
256094,2014
975074,2016
436488,2015
72644,2013
343886,2014
837322,2016
885413,2016
178602,2014
601912,2015
831170,2016
327788,2015
324656,2014
403628,2015
280842,2015
306360,2014
521234,2015
327962,2014
790034,2016
400976,2015
892446,2016
322118,2014
1029062,2016
1048496,2016
501502,2015
74004,2013
226084,2014
968056,2016
691180,2016
843536,2016
532836,2015
493014,2015
955748,2016
49798,2013
429662,2015
97338,2013
510178,2015
1002282,2016
706670,2016
275294,2014
594936,2015
521342,2015
828740,2016
501960,2015
486240,2015
869652,2016
169662,2014
1041522,2016
657130,2015
774570,2016
999262,2016
100526,2013
513046,2015
309854,2015
580068,2015
304410,2014
782256,2016
826912,2016
313512,2014
759262,2016
359926,2016
533458,2015
484134,2015
455452,2015
658766,2015
